Image 1,Image 2,Player Name,Team Name,First Set,Total Cards,Released Date
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Vidal Brujan RC,Tampa Bay Rays,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Bryson Stott RC,Philadelphia Phillies,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Ryan Vilade RC,Colorado Rockies,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Fernando Tatis Jr.,San Diego Padres,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Jarren Duran RC,Boston Red Sox,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,"Jarren Duran SP, VAR VAR: Image Variation (CMP ends with 326)",Boston Red Sox,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Matt Olson,Atlanta Braves,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Hunter Greene RC,Cincinnati Reds,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Ronald Acuña Jr.,Atlanta Braves,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Ke'Bryan Hayes,Pittsburgh Pirates,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Max Scherzer,New York Mets,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Reid Detmers RC,Los Angeles Angels,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Royce Lewis RC,Minnesota Twins,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Heliot Ramos RC,San Francisco Giants,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Alec Bohm,Philadelphia Phillies,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Gavin Sheets RC,Chicago White Sox,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Jonathan India,Cincinnati Reds,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Nick Lodolo RC,Cincinnati Reds,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Josh Donaldson,New York Yankees,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Julio Rodriguez RC,Seattle Mariners,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,"Julio Rodriguez SP, VAR VAR: Image Variation (CMP ends with 326)",Seattle Mariners,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Jacob deGrom,New York Mets,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Nolan Arenado,St. Louis Cardinals,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Trevor Story,Boston Red Sox,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Manny Machado,San Diego Padres,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Anthony Rizzo,New York Yankees,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Salvador Perez,Kansas City Royals,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,JP Sears RC,Oakland Athletics,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Jo Adell,Los Angeles Angels,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Corey Seager,Texas Rangers,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Bobby Witt Jr. RC,Kansas City Royals,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,"Bobby Witt Jr. SP, VAR VAR: Image Variation (CMP ends with 326)",Kansas City Royals,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Yordan Alvarez,Houston Astros,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Freddie Freeman,Los Angeles Dodgers,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Jose Abreu,Chicago White Sox,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Ketel Marte,Arizona Diamondbacks,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Starling Marte,New York Mets,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Bryce Harper,Philadelphia Phillies,2022 Bowman Platinum, 100,NAN
https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb.jpg,https://www.tcdb.com/Images/Thumbs/Baseball/341420/341420_20254234Thumb3.jpg,Jose Miranda RC,Minnesota Twins,2022 Bowman Platinum, 100,NAN
